Sno,Name,Email,Company,
76,Sir/Ma'am,mamol@in.ibm.com,IBM,
77,Sir/Ma'am,skg@spectrumconsultants.com,For Lucent,
78,Sir/Ma'am,itl.geitc@geind.ge.com,GE India,
79,Sir/Ma'am,hrd@icope.com,iCope,
80,Sir/Ma'am,careers@malkauns.nsc.com,NATIONAL,
81,Sir/Ma'am,pscareers2000@philips.com,Philips,
82,Sir/Ma'am,hr@boscalleo.com,BOSCALLEO Ecomm,
83,Sir/Ma'am,careers_2000@its.soft.net,IT Solutions,
84,Sir/Ma'am,careerb@msdc.hcltech.com,HCL Tech,
85,Sir/Ma'am,career@nihilent.com,NIHILENT,
86,Sir/Ma'am,careers@inf.com,Infosys,
87,Sir/Ma'am,india_jobs@cisco.com,CISCO,
88,Sir/Ma'am,speri@techpeople-india.com,PEOPLE.COM,
89,Sir/Ma'am,Want2b@netbrahma.com,NetBrahma,
90,Sir/Ma'am,hrd@suncoresoft.com,SunCoreSoft,
91,Sir/Ma'am,jobs@ishoni.com,Ishoni,
92,Sir/Ma'am,walkin@lgsi.com,LG Software I,
93,Sir/Ma'am,hps.rmg@hpsglobal.com,HPS Global,
94,Sir/Ma'am,jobs@reliance.com,Reliance,
95,Sir/Ma'am,carer@escosoft-tech.com,ESCOSOFT,
96,Sir/Ma'am,careerindia@seraova.com,SERANOVA,
97,Sir/Ma'am,hrd@indts.com,TeleSoft,
98,Sir/Ma'am,infinity@ssi-technologies.com,SSI,
99,Sir/Ma'am,bstp@melstar.com,MelStar,
100,Sir/Ma'am,careers@usinteractive.com,USInteractive,
101,Sir/Ma'am,jobs@cerebracomputers.com,Cerebra,
102,Sir/Ma'am,hrindia@empowertel.com,Empowertel,
103,Sir/Ma'am,hrtoi@india.ptc.com,PTC,
104,Sir/Ma'am,hr@siritech.com,Siri Technolgoies,
105,Sir/Ma'am,hr@alit.soft.net,ALIT,
106,Sir/Ma'am,sandeep.bhattacharya@iflexsolutions.com,i Flex,
107,Sir/Ma'am,hrd@cosmonetsolutions.com,CosmoNet,
108,Sir/Ma'am,resume_toib@polaris.co.in,POLARIS,
109,Sir/Ma'am,resumes@rasinfotech.com,RAS Infotech,
110,Sir/Ma'am,hrd@siptech.co.in,SIP Technolgies,
111,Sir/Ma'am,careers@snstech.com,SNS Tech,
112,Sir/Ma'am,crvcon@vsnl.com,AUTODESK,
113,Sir/Ma'am,onsite_java@lgsi.com,LGSoft,
114,Sir/Ma'am,work_here@kindlesystems.com,Kindle,
115,Sir/Ma'am,infostrands@gtvltd.com,InfoStrands,
116,Sir/Ma'am,hr@objectorb.com,ObjectOrb,
117,Sir/Ma'am,hrd@comneti.com,Comnet,
118,Sir/Ma'am,hrtelecom@cisindia.com,CIS,
119,Sir/Ma'am,geetha_cherian@onwardgroup.com,OnwardGroup,
120,Sir/Ma'am,jobs@greenmicrosystems.com,Green Microsystems,
121,Sir/Ma'am,personnel@stpb.soft.net,STPI,
122,Sir/Ma'am,careers@quark.stpm.soft.net,Quark,
123,Sir/Ma'am,subbu@deldot.com,DelDot,
124,Sir/Ma'am,ganesh@subegroup.com,SUBEX,
125,Sir/Ma'am,career@sierraopt.com,SIERRAOPT,
126,Sir/Ma'am,recruit_ecom@md.in.dsqsoft.com,DSQ,
127,Sir/Ma'am,hr@iictechnologies.com,IIC,
128,Sir/Ma'am,ecomjobs@cybertech.com,CYBERTECH,
129,Sir/Ma'am,resumes@FormulaSys.com,FormulaSys,
130,Sir/Ma'am,hr@workflow.com,WorkFlow,
131,Sir/Ma'am,got2b@SystemLogic.com,SystemLogic,
132,Sir/Ma'am,resume@cyberanalysts.com,CyberAnalysts,
133,Sir/Ma'am,hr@impetus.co.in,IMPETUS,
134,Sir/Ma'am,svadivel@VISTEON.com,VISTEON,
135,Sir/Ma'am,myjobs@amadee.de,Amadee,
136,Sir/Ma'am,webtek_jobs@dresdner-bank.com,WEBTEK,
137,Sir/Ma'am,hrd@cirrus.stpp.soft.net,CIRRUS LOGIC,
138,Sir/Ma'am,resume@chennai.tcs.com,TCS,
139,Sir/Ma'am,mjojo@tvsfugen.com,TVSFUGEN,
140,Sir/Ma'am,jobs@onscan.com,Onscan,
141,Sir/Ma'am,jobs@EmbeddedWireless.com,EmbeddedWireless,
142,Sir/Ma'am,career@deccanetdesigns.com,DECCANET,
143,Sir/Ma'am,joinus@DuskValley.com,DuskValley,
144,Sir/Ma'am,duskvalley@vsnl.com,DuskValley,
145,Sir/Ma'am,hrd@sema.co.in,SEMA,
146,Sir/Ma'am,future4u@ftdpl.com.sg,FTD ,
147,Sir/Ma'am,careers@sasi.com,SAS,
148,Sir/Ma'am,design@spikeindia.soft.net,SPIKE EDA ,
149,Sir/Ma'am,freedom@ggn.hcltech.com,HCL,
150,Sir/Ma'am,corporatetrg@aptech.co.in,Aptech,
151,Sir/Ma'am,psaib@datamatics.com,Datamatics,
152,Sir/Ma'am,hrd@aquila.soft.net,AQUILA EBusiness,
153,Sir/Ma'am,careers@datumtec.com,DATUM,
154,Sir/Ma'am,resumetoib@hss.hns.com,HUGHES,
155,Sir/Ma'am,india_jobs@ambernetworks.com,AMBER,
156,Sir/Ma'am,career@integramicro.com,Integra,
157,Sir/Ma'am,cvindia@lante.com,Lante,
158,Sir/Ma'am,RELQusa@RELQ.com,RELQ,
159,Sir/Ma'am,hrd@sonata-software.com,Sonata,
160,Sir/Ma'am,career@sonata-software.com,Sonata,
161,Sir/Ma'am,hrdbg@skillsandjobs.com,ZAP,
162,Sir/Ma'am,dreamcareers@zensar.com,Zensar,
163,Sir/Ma'am,ravikum@mbox2.singnet.com.sg,Spectrum,
164,Sir/Ma'am,forbeshr@bgl.vsnl.net.in,Forbes,
165,Sir/Ma'am,forbesbg@bgl.vsnl.net.in,Forbes,
166,Sir/Ma'am,guru@synopsys.com,Synopsys,
167,Sir/Ma'am,map@jobcurry.com,JobCurry Australia,
168,Sir/Ma'am,cn66@vsnl.com,VSNL,
169,Sir/Ma'am,hr@suntechnologies.com,Sun Tech,
170,Sir/Ma'am,careers@noida.hclt.com,HCL Tech,
171,Sir/Ma'am,engserv@inf.com,Infosys,
172,Sir/Ma'am,htc.blr@htcinc.com,HTC,
173,Sir/Ma'am,resume@cgs.cgsmith.soft.net,CGSmith,
174,Sir/Ma'am,irecruit@apcc.com,APCC,
175,Sir/Ma'am,sunitha@techdriveintl.com,TechDrive,
176,Sir/Ma'am,careers@uniquecomputing.com,UniqueComputing,
177,Sir/Ma'am,asiapacific@accord-soft.com,Accord Soft,
178,Sir/Ma'am,hrd.zensoft@pacific.net.sg,ZenSoft,
179,Sir/Ma'am,hr@zenithsoft.com,Zenith Mumbai,
180,Sir/Ma'am,rsg@in.velocient.com,Velocient,
181,Sir/Ma'am,hr_bgl@selectica.com,Selectica,
182,Sir/Ma'am,jobs@thinkbn.com,Think Inc. Coimbatore,
183,Sir/Ma'am,hr@mphasis.com,Mphasis,
184,Sir/Ma'am,di.recruit@digital.com,Digital,
185,Sir/Ma'am,hrindia@alopa.com,Alopa,
186,Sir/Ma'am,careers@sasi.com,Silicon Automation,
187,Sir/Ma'am,recruitment@birlasoftware.com,Birla Software,
188,Sir/Ma'am,jobs@webxl.com,WebXL,
189,Sir/Ma'am,got2b@talisma.com,Talisma,
190,Sir/Ma'am,got2b@aditi.com,Aditi,
191,Sir/Ma'am,want2b@aditi.com,Aditi,
192,Sir/Ma'am,hrd@amsoftis.com,AmSoft,
193,Sir/Ma'am,jobs@bangaloresoftware.com,Software,
194,Sir/Ma'am,rescw@arthurandersen.com,ARTHUR ANDERSEN,
195,Sir/Ma'am,careers@raffles.soft.net,Raffles,
196,Sir/Ma'am,hr_ecosmos@netkracker.com,ECosmos,
197,Sir/Ma'am,sanjukta.sarkar@sap.com,SAP,
198,Sir/Ma'am,protocol@pundits.com,PUNDITS,
199,Sir/Ma'am,jobs@aztecsoft.com,AZTEC,
200,Sir/Ma'am,banking_hrd@infy.com,Infy Banking Software,
201,Sir/Ma'am,careers.IS@inf.com,Infy IS Software,
202,Sir/Ma'am,opportunities@hpsblr.soft.net,HPS(Perot) Global,
203,Sir/Ma'am,jobs@csshome.net,CSS,
204,Sir/Ma'am,recruiting@cbsinc.com,CBSI,
205,Sir/Ma'am,hr@netgalactic.com,NetGalactic,
206,Sir/Ma'am,livefree@orbit-e.com,Orbit e,
207,Sir/Ma'am,hr@is3c.com,is3c,
208,Sir/Ma'am,jobs@tenetindia.com,Tenet,
209,Sir/Ma'am,opportunities@gmrinfo.com,GMR Info,
210,Sir/Ma'am,resume_india@intergraph.com,Intergraph,
211,Sir/Ma'am,be@net-kraft.com,Net Kraft,
212,Sir/Ma'am,career@hiso.honeywell.com,Honeywell,
213,Sir/Ma'am,hrssg@teil.soft.net,TEIL,
214,Sir/Ma'am,careers@cmg.nu,CMG,
215,Sir/Ma'am,hrd@blr.cmc.net.in,CMC,
216,Sir/Ma'am,general@cominsights.com,ComInsights,
217,Sir/Ma'am,resume@multitech.co.in,MultiTech,
218,Sir/Ma'am,reach@vsnl.com,Reach Consulting,
219,Sir/Ma'am,jobs@nexageconsulting.com,NexAge Consulting,
220,Sir/Ma'am,jkconsultants@vsnl.com,JK Consultants,
221,Sir/Ma'am,consulti@vsnl.com,Consulti,
,,,,
